Date,Exposure,Exposure MoM Trend
1/11/2013,"2,554,532.56",70.00%
2/11/2013,"2,250,543.19",71.00%
3/11/2013,"2,556,617.06",72.00%
4/11/2013,"2,528,494.27",73.00%
5/11/2013,"2,948,224.32",65.00%
6/11/2013,"3,369,820.40",75.00%
7/11/2013,"3,723,651.54",76.00%
8/11/2013,"3,958,241.59",77.00%
9/11/2013,"3,617,832.81",78.00%
10/11/2013,"3,798,724.45",79.00%
11/11/2013,"3,696,158.89",80.00%
12/11/2013,"3,884,662.99",81.00%
13/11/2013,"3,577,774.62",82.00%
14/11/2013,"3,670,796.76",83.00%
15/11/2013,"3,590,039.23",84.00%
16/11/2013,"3,353,096.64",85.00%
17/11/2013,"3,705,171.79",86.00%
18/11/2013,"4,249,832.04",95.00%
19/11/2013,"4,878,807.18",88.00%
20/11/2013,"5,566,718.99",89.00%
21/11/2013,"6,451,827.31",90.00%
22/11/2013,"5,425,986.77",91.00%
23/11/2013,"5,773,249.92",98.00%
24/11/2013,"5,981,086.92",93.00%
25/11/2013,"6,046,878.88",94.00%
26/11/2013,"6,052,925.76",95.00%
27/11/2013,"5,544,479.99",96.00%
28/11/2013,"5,993,582.87",97.00%
29/11/2013,"5,759,833.14",98.00%
30/11/2013,"5,517,920.15",99.00%
1/12/2013,"5,159,255.34",101.96%
2/12/2013,"5,762,888.21",140.31%
3/12/2013,"5,394,063.37",110.98%
4/12/2013,"5,852,558.75",131.46%
5/12/2013,"6,022,282.96",104.27%
6/12/2013,"5,739,235.66",70.31%
7/12/2013,"5,624,450.95",51.05%
8/12/2013,"6,423,122.98",62.27%
9/12/2013,"6,551,585.44",81.09%
10/12/2013,"6,505,724.34",71.26%
11/12/2013,"5,868,163.36",58.76%
12/12/2013,"5,005,543.34",28.85%
13/12/2013,"4,274,734.01",19.48%
14/12/2013,"3,984,052.10",8.53%
15/12/2013,"3,872,498.64",7.87%
16/12/2013,"3,934,458.62",17.34%
17/12/2013,"4,272,822.06",15.32%
18/12/2013,"4,183,092.80",-1.57%
19/12/2013,"4,835,655.28",-0.88%
20/12/2013,"4,042,607.81",-27.38%
21/12/2013,"3,395,790.56",-47.37%
22/12/2013,"2,927,171.46",-46.05%
23/12/2013,"3,293,067.90",-42.96%
24/12/2013,"3,796,907.28",-36.52%
25/12/2013,"3,227,371.19",-46.63%
26/12/2013,"3,656,611.56",-39.59%
27/12/2013,"3,093,493.38",-44.21%
28/12/2013,"2,601,627.93",-56.59%
29/12/2013,"2,575,611.65",-55.28%
30/12/2013,"2,521,523.81",-54.30%
31/12/2013,"2,168,510.48",-57.97%
1/1/2014,"2,036,231.34",-64.67%
2/1/2014,"2,284,651.56",-57.65%
3/1/2014,"2,225,250.62",-61.98%
4/1/2014,"2,398,820.17",-60.17%
5/1/2014,"2,737,053.81",-52.31%
6/1/2014,"2,318,284.58",-58.78%
7/1/2014,"2,582,569.02",-59.79%
8/1/2014,"2,394,041.48",-63.46%
9/1/2014,"2,475,438.89",-61.95%
10/1/2014,"2,485,340.65",-57.65%
11/1/2014,"2,199,526.47",-56.06%
12/1/2014,"2,247,916.06",-47.41%
13/01/2014,"2,241,172.31",-43.75%
14/01/2014,"1,907,237.63",-50.75%
15/01/2014,"1,621,151.99",-58.80%
16/01/2014,"1,368,252.28",-67.98%
17/01/2014,"1,381,934.80",-66.96%
18/01/2014,"1,445,503.80",-70.11%
19/01/2014,"1,653,656.35",-59.09%
20/01/2014,"1,883,514.58",-44.53%
